activity;time;production_order;material;required_material;purchase_requisition;purchase_order;amount_material
create production order;2021-11-10 22:14:20;{990001};{000000000050066346};{DPC1015,DPC1018};{};{};{370}
create purchase requisition;2021-11-11 17:12:40;{};{};{DPC1018};{300000};{};{370}
create purchase requisition;2021-11-11 19:22:38;{};{};{DPC1015};{300001};{};{370}
create production order;2021-11-11 21:43:01;{990002};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{272}
release purchase requisition (1);2021-11-12 11:34:20;{};{};{};{300000};{};{}
create purchase requisition;2021-11-12 12:30:48;{};{};{HT-S2011600-7};{300002};{};{272}
release purchase requisition (1);2021-11-12 15:56:25;{};{};{};{300002};{};{}
create purchase requisition;2021-11-12 16:10:03;{};{};{AM2-540};{300003};{};{272}
release purchase requisition (2);2021-11-12 17:18:31;{};{};{};{300002};{};{}
create production order;2021-11-12 21:40:22;{990003};{ACT-DCD-11};{ACT-BCD};{};{};{74}
convert to purchase order;2021-11-15 10:27:25;{};{};{HT-S2011600-7};{300002};{70000};{272}
release purchase requisition (1);2021-11-15 10:37:53;{};{};{};{300003};{};{}
create purchase requisition;2021-11-15 10:39:32;{};{};{HT-MEC9417};{300004};{};{272}
release purchase requisition (2);2021-11-15 12:27:37;{};{};{};{300000};{};{}
create purchase requisition;2021-11-15 15:41:38;{};{};{ACT-BCD};{300005};{};{74}
release purchase requisition (1);2021-11-15 16:51:33;{};{};{};{300001};{};{}
create production order;2021-11-15 17:56:55;{990004};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{274}
reject purchase order;2021-11-15 22:10:36;{};{};{};{};{70000};{}
release purchase requisition (2);2021-11-16 09:41:41;{};{};{};{300003};{};{}
release purchase requisition (2);2021-11-16 10:08:11;{};{};{};{300001};{};{}
create purchase requisition;2021-11-16 10:41:35;{};{};{HT-S2011600-7};{300006};{};{272}
convert to purchase order;2021-11-16 10:49:42;{};{};{DPC1015};{300001};{70001};{370}
release purchase requisition (1);2021-11-16 10:56:35;{};{};{};{300004};{};{}
convert to purchase order;2021-11-16 11:01:54;{};{};{AM2-540};{300003};{70002};{272}
release purchase requisition (1);2021-11-16 11:57:03;{};{};{};{300006};{};{}
convert to purchase order;2021-11-16 17:04:29;{};{};{DPC1018};{300000};{70003};{370}
release purchase requisition (2);2021-11-16 17:08:35;{};{};{};{300006};{};{}
convert to purchase order;2021-11-16 20:25:42;{};{};{HT-S2011600-7};{300006};{70004};{272}
release purchase order;2021-11-17 09:34:20;{};{};{};{};{70002};{}
release purchase order;2021-11-17 10:01:13;{};{};{};{};{70003};{}
release purchase requisition (2);2021-11-17 12:11:15;{};{};{};{300004};{};{}
convert to purchase order;2021-11-17 12:11:31;{};{};{HT-MEC9417};{300004};{70005};{272}
goods receipt for purchase order;2021-11-17 13:21:44;{};{};{DPC1018};{};{70003};{370}
release purchase order;2021-11-17 16:18:43;{};{};{};{};{70004};{}
release purchase requisition (1);2021-11-17 16:36:29;{};{};{};{300005};{};{}
create purchase requisition;2021-11-17 17:38:49;{};{};{AZ2-742};{300007};{};{274}
release purchase order;2021-11-18 11:04:24;{};{};{};{};{70005};{}
reject purchase order;2021-11-18 11:24:40;{};{};{};{};{70001};{}
release purchase requisition (2);2021-11-18 12:20:32;{};{};{};{300005};{};{}
convert to purchase order;2021-11-18 12:31:23;{};{};{ACT-BCD};{300005};{70006};{74}
goods receipt for purchase order;2021-11-18 15:20:33;{};{};{HT-MEC9417};{};{70005};{272}
create purchase requisition;2021-11-18 15:23:09;{};{};{HT-MEC0717};{300008};{};{548}
release purchase order;2021-11-18 15:57:26;{};{};{};{};{70006};{}
create purchase requisition;2021-11-18 21:55:39;{};{};{DPC1015};{300009};{};{370}
goods receipt for purchase order;2021-11-19 09:41:20;{};{};{AM2-540};{};{70002};{272}
release purchase requisition (1);2021-11-19 12:15:32;{};{};{};{300009};{};{}
release purchase requisition (1);2021-11-19 15:41:54;{};{};{};{300008};{};{}
release purchase requisition (2);2021-11-22 09:15:57;{};{};{};{300008};{};{}
goods receipt for purchase order;2021-11-22 10:05:13;{};{};{HT-S2011600-7};{};{70004};{272}
