activity;time;production_order;material;required_material;purchase_requisition;purchase_order;amount_material
create production order;2021-11-10 22:14:20;{990001};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{379}
create purchase requisition;2021-11-11 09:25:03;{};{};{HT-S2011600-7};{300000};{};{379}
release purchase requisition (1);2021-11-11 18:22:55;{};{};{};{300000};{};{}
create production order;2021-11-11 21:43:01;{990002};{ACT-DCD-11};{ACT-BCD};{};{};{162}
create purchase requisition;2021-11-12 14:03:51;{};{};{AM2-540};{300001};{};{379}
create production order;2021-11-12 21:40:22;{990003};{000000000050066346};{DPC1015,DPC1018};{};{};{267}
create purchase requisition;2021-11-15 10:44:59;{};{};{ACT-BCD};{300002};{};{162}
release purchase requisition (1);2021-11-15 17:23:39;{};{};{};{300002};{};{}
release purchase requisition (2);2021-11-15 17:53:20;{};{};{};{300000};{};{}
create production order;2021-11-15 17:56:55;{990004};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{43}
convert to purchase order;2021-11-16 10:50:04;{};{};{HT-S2011600-7};{300000};{70000};{379}
create purchase requisition;2021-11-16 12:48:00;{};{};{DPC1018};{300003};{};{267}
release purchase order;2021-11-16 16:04:13;{};{};{};{};{70000};{}
release purchase requisition (1);2021-11-17 08:36:37;{};{};{};{300001};{};{}
create purchase requisition;2021-11-17 12:01:45;{};{};{HT-MEC0717};{300004};{};{86}
release purchase requisition (2);2021-11-17 14:16:53;{};{};{};{300001};{};{}
release purchase requisition (2);2021-11-17 15:23:14;{};{};{};{300002};{};{}
release purchase requisition (1);2021-11-17 15:43:32;{};{};{};{300004};{};{}
goods receipt for purchase order;2021-11-17 17:04:10;{};{};{HT-S2011600-7};{};{70000};{379}
goods issue for production order;2021-11-18 11:28:03;{990001};{};{HT-S2011600-7};{};{};{379}
release purchase requisition (1);2021-11-18 11:50:47;{};{};{};{300003};{};{}
release purchase requisition (2);2021-11-18 15:30:55;{};{};{};{300004};{};{}
convert to purchase order;2021-11-18 15:55:20;{};{};{AM2-540};{300001};{70001};{379}
convert to purchase order;2021-11-18 18:53:06;{};{};{ACT-BCD};{300002};{70002};{162}
create purchase requisition;2021-11-19 09:03:37;{};{};{AZ2-742};{300005};{};{43}
create purchase requisition;2021-11-19 10:39:48;{};{};{HT-MEC9417};{300006};{};{379}
release purchase requisition (1);2021-11-19 10:44:43;{};{};{};{300005};{};{}
convert to purchase order;2021-11-19 14:14:08;{};{};{HT-MEC0717};{300004};{70003};{86}
release purchase requisition (2);2021-11-19 15:11:01;{};{};{};{300005};{};{}
release purchase requisition (2);2021-11-19 16:25:54;{};{};{};{300003};{};{}
release purchase order;2021-11-19 16:46:18;{};{};{};{};{70002};{}
release purchase order;2021-11-22 10:04:06;{};{};{};{};{70001};{}
release purchase requisition (1);2021-11-22 10:39:50;{};{};{};{300006};{};{}
reject purchase order;2021-11-22 10:54:08;{};{};{};{};{70003};{}
convert to purchase order;2021-11-22 15:34:24;{};{};{DPC1018};{300003};{70004};{267}
convert to purchase order;2021-11-22 15:45:13;{};{};{AZ2-742};{300005};{70005};{43}
goods receipt for purchase order;2021-11-22 16:31:02;{};{};{AM2-540};{};{70001};{379}
release purchase requisition (2);2021-11-23 09:25:00;{};{};{};{300006};{};{}
release purchase order;2021-11-23 10:22:34;{};{};{};{};{70005};{}
convert to purchase order;2021-11-23 12:08:57;{};{};{HT-MEC9417};{300006};{70006};{379}
release purchase order;2021-11-23 14:53:10;{};{};{};{};{70006};{}
create purchase requisition;2021-11-23 15:40:32;{};{};{DPC1015};{300007};{};{267}
release purchase requisition (1);2021-11-23 18:44:26;{};{};{};{300007};{};{}
goods receipt for purchase order;2021-11-24 10:50:23;{};{};{HT-MEC9417};{};{70006};{379}
goods receipt for purchase order;2021-11-24 12:28:32;{};{};{ACT-BCD};{};{70002};{162}
release purchase requisition (2);2021-11-24 15:05:55;{};{};{};{300007};{};{}
release purchase order;2021-11-24 16:21:05;{};{};{};{};{70004};{}
goods receipt for purchase order;2021-11-24 16:51:30;{};{};{AZ2-742};{};{70005};{43}
goods issue for production order;2021-11-24 21:05:22;{990001};{};{AM2-540};{};{};{379}
goods receipt for purchase order;2021-11-25 09:38:47;{};{};{DPC1018};{};{70004};{267}
create purchase requisition;2021-11-25 13:25:34;{};{};{HT-MEC0717};{300008};{};{86}
convert to purchase order;2021-11-25 15:15:48;{};{};{DPC1015};{300007};{70007};{267}
release purchase requisition (1);2021-11-26 11:41:39;{};{};{};{300008};{};{}
goods issue for production order;2021-11-26 12:19:08;{990001};{};{HT-MEC9417};{};{};{379}
confirm production order;2021-11-26 12:19:08;{990001};{CLIP-ON_MIC};{};{};{};{379}
release purchase requisition (2);2021-11-26 15:22:53;{};{};{};{300008};{};{}
convert to purchase order;2021-11-26 15:34:32;{};{};{HT-MEC0717};{300008};{70008};{86}
goods issue for production order;2021-11-29 11:38:23;{990002};{};{ACT-BCD};{};{};{162}
confirm production order;2021-11-29 11:38:23;{990002};{ACT-DCD-11};{};{};{};{162}
goods issue for production order;2021-11-29 15:47:31;{990003};{};{DPC1018};{};{};{267}
create production order;2021-11-29 16:29:59;{990014};{ACT-DCD-11};{ACT-BCD};{};{};{94}
release purchase order;2021-11-30 10:17:01;{};{};{};{};{70008};{}
goods receipt for purchase order;2021-11-30 10:21:53;{};{};{HT-MEC0717};{};{70008};{86}
create purchase requisition;2021-11-30 14:58:05;{};{};{ACT-BCD};{300009};{};{94}
release purchase order;2021-12-01 13:45:04;{};{};{};{};{70007};{}
release purchase requisition (1);2021-12-02 08:58:50;{};{};{};{300009};{};{}
release purchase requisition (2);2021-12-03 16:22:45;{};{};{};{300009};{};{}
convert to purchase order;2021-12-06 16:47:36;{};{};{ACT-BCD};{300009};{70009};{94}
goods receipt for purchase order;2021-12-06 18:24:26;{};{};{DPC1015};{};{70007};{267}
goods issue for production order;2021-12-07 10:59:54;{990004};{};{AZ2-742};{};{};{43}
goods issue for production order;2021-12-07 14:57:03;{990004};{};{HT-MEC0717};{};{};{86}
confirm production order;2021-12-07 14:57:03;{990004};{IBP-120};{};{};{};{43}
reject purchase order;2021-12-08 09:28:41;{};{};{};{};{70009};{}
create production order;2021-12-08 17:37:58;{990011};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{237}
create purchase requisition;2021-12-09 10:42:12;{};{};{ACT-BCD};{300010};{};{94}
release purchase requisition (1);2021-12-10 12:38:58;{};{};{};{300010};{};{}
release purchase requisition (2);2021-12-13 10:04:13;{};{};{};{300010};{};{}
create purchase requisition;2021-12-13 10:15:38;{};{};{AZ2-742};{300011};{};{237}
create purchase requisition;2021-12-13 11:51:09;{};{};{HT-MEC0717};{300012};{};{474}
release purchase requisition (1);2021-12-13 20:08:56;{};{};{};{300012};{};{}
release purchase requisition (1);2021-12-14 11:07:58;{};{};{};{300011};{};{}
release purchase requisition (2);2021-12-15 11:11:27;{};{};{};{300012};{};{}
goods issue for production order;2021-12-15 11:28:10;{990003};{};{DPC1015};{};{};{267}
confirm production order;2021-12-15 11:28:10;{990003};{000000000050066346};{};{};{};{267}
convert to purchase order;2021-12-15 11:55:03;{};{};{HT-MEC0717};{300012};{70010};{474}
convert to purchase order;2021-12-15 14:34:00;{};{};{ACT-BCD};{300010};{70011};{94}
reject purchase order;2021-12-15 15:24:07;{};{};{};{};{70010};{}
release purchase requisition (2);2021-12-15 16:16:58;{};{};{};{300011};{};{}
create purchase requisition;2021-12-16 13:07:15;{};{};{HT-MEC0717};{300013};{};{474}
